doc_id,doc_type,title,description,read_url,thumbnail,author_name,author_url,views,page_count,upload_date,upvotes,downvotes
1039206914,document,LepointsurlegaznaturelauMaroc,"Le gaz naturel au Maroc, principalement composé de méthane, est en forte croissance, avec une consommation de 933 Mm³ en 2023, dont 86% est importé. Les projets d'exploitation à Tendrara, Lixus et Guercif pourraient augmenter la production locale, avec des réserves prouvées estimées à 10,67 Gm³ à Tendrara et 6,03 Gm³ à Lixus. La mise en service de nouvelles centrales électriques et l'absence d'infrastructures de distribution posent des défis pour répondre à la demande croissante en gaz naturel.",https://www.scribd.com/document/1039206914/LepointsurlegaznaturelauMaroc,https://imgv2-1-f.scribdassets.com/img/document/1039206914/298x396/fe118c52b3/0?v=1,moufti,https://www.scribd.com/users/17155713,0,3,2026-05-15,0,0
1039409623,document,Pdf24 Merged,,https://www.scribd.com/document/1039409623/Pdf24-Merged,https://imgv2-2-f.scribdassets.com/img/document/1039409623/298x396/6115a395bd/0?v=1,dimamas1946,https://www.scribd.com/users/955293758,0,7,2026-05-15,0,0
1039368335,document,Maroc Digital 2030,"La stratégie 'Maroc Digital 2030' vise à transformer numériquement le Maroc d'ici 2030 en intégrant le numérique dans tous les secteurs pour améliorer les services publics et stimuler l'économie. Elle repose sur la digitalisation des services publics et le développement de l'économie numérique, tout en formant les jeunes aux compétences digitales et en créant 240 000 emplois dans ce domaine. Cette initiative représente une opportunité significative pour les jeunes, favorisant l'innovation et l'accès aux marchés internationaux.",https://www.scribd.com/document/1039368335/Maroc-Digital-2030,https://imgv2-2-f.scribdassets.com/img/document/1039368335/298x396/bcd6faccd3/0?v=1,AHMED BENHRIR,https://www.scribd.com/users/600041463,0,1,2026-05-15,0,0
1040103151,document,Expose Maroc 5eme v2,,https://www.scribd.com/document/1040103151/Expose-Maroc-5eme-v2,https://imgv2-2-f.scribdassets.com/img/document/1040103151/298x396/d18576eeae/0?v=1,hassar,https://www.scribd.com/users/298407329,0,1,2026-05-17,0,0
1038160096,document,Manuel d'Investissement Or au Maroc,"Le document présente un manuel sur l'investissement dans l'or, en abordant ses fondamentaux, le marché marocain, des stratégies d'investissement, ainsi que des conseils sur la sécurité et la revente. Il explique l'importance de l'or comme valeur refuge, les spécificités du marché marocain concernant les carats et les poinçons, et fournit des outils pratiques pour les investisseurs. Enfin, il inclut des annexes et des check-lists pour sécuriser les achats d'or.",https://www.scribd.com/document/1038160096/Manuel-d-Investissement-Or-au-Maroc,https://imgv2-1-f.scribdassets.com/img/document/1038160096/298x396/01823be493/0?v=1,med96319,https://www.scribd.com/users/777478146,0,8,2026-05-12,0,0
1039046597,document,fiches_technico_economiques_serre_maroc,"Le document présente des fiches technico-économiques pour la culture de la tomate et du poivron sous serre, incluant des informations sur les opérations culturales, les intrants, et les résultats économiques pour chaque culture. Pour la tomate, le rendement estimé est de 120-150 T/Ha avec un coût total de 107 430 DH/Ha, tandis que pour le poivron, le rendement est de 60-80 T/Ha avec un coût total de 112 680 DH/Ha. Les données proviennent de sources telles que l'INRA et Fellah Trade Maroc.",https://www.scribd.com/document/1039046597/fiches-technico-economiques-serre-maroc,https://imgv2-2-f.scribdassets.com/img/document/1039046597/298x396/e8d77413b8/0?v=1,zainabsabki10,https://www.scribd.com/users/749912639,0,4,2026-05-14,0,0
1039112318,document,Droit Prive Maroc v2,"Le droit privé au Maroc régit les relations entre personnes physiques et morales, incluant des domaines tels que le droit civil, le droit social, le droit des affaires, le droit rural et le droit international privé. Chaque branche a des spécificités, par exemple, le droit civil traite des relations familiales et contractuelles, tandis que le droit des affaires encadre les activités commerciales. Le droit privé se distingue par son rôle dans les interactions entre individus sans l'intervention de l'État.",https://www.scribd.com/document/1039112318/Droit-Prive-Maroc-v2,https://imgv2-1-f.scribdassets.com/img/document/1039112318/298x396/5a128dbe42/0?v=1,zznn0565,https://www.scribd.com/users/983311771,0,4,2026-05-14,0,0
1038733145,document,6 RELEVEE CDM CREDIT DU MAROC,"Le document est un relevé bancaire détaillant les opérations d'un compte au Crédit du Maroc pour MR ENNAKES MOUNAIM. Il présente les mouvements de débit et de crédit sur une période, avec un solde final de 87 501,98 MAD au 31 octobre 2025. Les transactions incluent des virements, des paiements par carte et des retraits aux guichets automatiques.",https://www.scribd.com/document/1038733145/6-RELEVEE-CDM-CREDIT-DU-MAROC,https://imgv2-1-f.scribdassets.com/img/document/1038733145/298x396/e9525b854e/0?v=1,simosimo19862000,https://www.scribd.com/users/899365708,0,3,2026-05-13,0,0
1039400128,document,Rapport Complet Politique Fiscale Investissement Maroc 40pages,"Le rapport analyse le rôle de la politique fiscale dans le développement de l'investissement au Maroc, soulignant son importance pour la croissance économique et l'attractivité du pays. Il met en avant les réformes fiscales mises en place pour encourager les investissements, tout en identifiant des défis tels que la complexité administrative et les inégalités fiscales. Enfin, le gouvernement marocain continue d'élaborer des stratégies pour améliorer le climat des affaires et renforcer la confiance des investisseurs.",https://www.scribd.com/document/1039400128/Rapport-Complet-Politique-Fiscale-Investissement-Maroc-40pages,https://imgv2-2-f.scribdassets.com/img/document/1039400128/298x396/67e6a96d88/0?v=1,Abla Atqaouesse,https://www.scribd.com/users/635578183,0,40,2026-05-15,0,0
1040137748,document,Modele Contrat Travail Maroc,,https://www.scribd.com/document/1040137748/Modele-Contrat-Travail-Maroc,https://imgv2-2-f.scribdassets.com/img/document/1040137748/298x396/388ee6fb78/0?v=1,nabil riffi,https://www.scribd.com/users/541531025,0,4,2026-05-17,0,0
